"If yes, please explain ",Why are you interested in becoming an ECE Alumni Mentor?,"Please talk about your professional experiences - field of interest, previous jobs or career changes, etc. ","Tell us a little bit about yourself - personal interests, hobbies, family, etc. "
,,"I am a registered Electrical Engineer in seven states (NC, MO, FL, VA, TX, AR and ME). I have experience in manufacturing and engineering consulting. Engineering experience includes: electrical safety (Arc Flash), protective relaying (SEL), standby power generation systems, and commercial/higher education design. I am a graduate of the University of Arkansas where I received a Masters degree in Electrical Engineering (2019) where my coursework focused on power systems. I received my bachelors degree in Electrical Engineering from North Carolina State University in 2013 with a concentration on renewable electric energy systems. Currently working at Duke Energy.",
Currently a mentor in the NCSU Entrepreneurs Program,"I wish that I was connected to more alumni when I was in the ECE program. I was not a strong student, but have been rewarded by sticking with it and graduating from NC State. I want to pay it forward. ",I've worked in startups and bigger companies. I've had roles as manager and as individual contributor and in both technical and business functions. I'm particularly passionate about technology product startups. ,Married and new father. Play ice hockey. 
"Mentoring: MIT Undergraduate Students, MIT Lincoln Laboratory Interns, NC State Black Alumni Society Graduate Students, GEM Fellows while at Lincoln Laboratory
Mentee: MIT Lincoln Laboratory Senior Staff, Group Leaders, and Director's Office (depending on year)",I love being able to give back to my Alma Mater but also find a lot of reward in helping others grow personally and in their career.,"I have been an employee of MIT Lincoln Laboratory since I graduated from NC State in 2014.  With MIT, I have been part of several Missile Defense groups where my work has ranged from the development of Electronic Warfare systems to the improvement and modernization of operational radar systems that are part of the National Defense network.  My background is in RF hardware and Electromagnetics which has served quite well in my current position.

As part of the Electronics Research Laboratory while a graduate student at NC State, my research was on the interaction of acoustic and electromagnetic fields for remote sensing applications.  My research interests include nonlinear acoustic modeling, high powered acoustics, electromagnetic, RF system design, nonlinear RF effects, electronic warfare techniques and applications, and radar design.","I am a huge sports fan and love to be active in general -- you can generally find me joining just about every sports recreation league possible and typically have a game (regardless of sport) on in the background.  I really enjoy food and finding new places with amazing food.  Food trucks are my favorite but now that I live in the middle of the Pacific, I highly enjoy visiting countries around the world where I can explore the local food cuisine.  I've been married to a designer for the past 3 years (traditional story, she was a Peace girl while I was at NC State) and the differences in how our brains work fascinate me -- or confound me, depending on the day."
Was mentor for an intern at my company summer of 2018.,"Enjoyed being mentored as an intern and coop through college, enjoyed working with an NC State student who I mentored as he interned with my group. They can learn some things from me, while I can also learn some things from them ","COOP at Sony Ericsson (2009), COOP at Cisco (2010), Internship at Cisco (2012), Bandwidth for 7 years","NC State Athletics, Video Games, Biking, Home Server, Married to College Sweatheart, 1 cat, 1 dog. Craft Beer fan"
I was a peer mentor and mentee at NCSU. Post graduation I have been a mentor for summer interns and have established multiple mentor relationships with people who inspire me.,I am interested in giving back and helping those after me learn from my mistakes and success. My time at NCSU in the ECE department has shaped my who I am today and I want to pay it forward to the next generation of engineers.,I have experience testing software manually and through automation in the both the telecommunications and financial services industries. I have worked as a Business and Systems Analyst in scrum environments. Currently I work as a software engineer and I started my consulting company.,"I am passionate about solving business problems through the use of technology. I enjoy helping others and inspiring them to be their best. Some of my interests include playing video games, playing basketball, and having fun with family and friends. "
N/A,"Vincent Sanders mentioned this mentoring program to me and there is so much more that ECE can offer you that I didn't know about until I started working in the industry. I would like to pass on what I have learned, so that the future engineers aren't locked into a specific industry or market.","I interned at IBM and Fidelity Investments. I worked as a java programmer consultant at Tiaa Cref in Charlotte, NC. Then, I moved to Kansas City to begin my career as a devops engineer and transition into my current architect role. I worked in the cloud environment where I utilized aws to provide hospitals with real time day with out SaaS platform. ",My personal interest include playing basketball and researching new technology to bring to my organization.
"As a senior manager, I routinely mentored developing employees.  ",I appreciate the foundation that NC State provided me and want to give back.  ,"I have had a broad career in the Energy business, working in a Utility as well as private industry.  I have worked as an engineer but mostly as a supervisor, manager and executive.  I have done a lot of hiring in my career.    ","I am a proud father of two boys (grown and successfully employed), married for 36 years.  I recently retired from my last job in Seattle and moved to the beach!  I am an active tennis player, fisherman, golfer and attend church regularly.  I have worked in the Park Scholarship interviewing process for the last 3 years and would look forward to assisting the ECE department where I can.  "
UNC CleanTech Summit mentor program,Enjoy meeting the students and providing my perspective,"Centered on electric utility business, first as software vendor, then working at a utility ","Married 3kids oldest is 9, swimming,coaching sports at the Y, golf,fishing, "
"Aside from years of being involved with Big Brothers & Sisters and a similar program while at NC State, I have been mentored by engineers through my career starting in high school and beyond. And of course knowing value of being mentored, I mentored engineers of all levels of experience including taking lead roles in teaching new technologies both internal to the companies and external at conferences.","While I was fortune to experience centennial campus in the early days when there was just Red Hat and research buildings I, II and III, it clearly has come along much further than when I was there, especially now that the ECE programs have completely moved over to centennial campus. By mentoring NCSU engineering alumni, I will hope get a sense and connection back to centennial campus without having to actually be there! However, I do plan to make it back to campus as soons as practical, but going the mainly startup route during my career has made the time and financial resources hard to make it back, but I do love the annual alumni picnic events every year here in Portland....except for this year! :-(","Since I was 12 years old I knew I wanted to become and electrical engineer (EE) in order to design microprocessors ( uP), so my initial interest was in uP as well as general microelectronics/semiconductor chip design. Being involved in a number of small or startup companies I got experiences involving a number of other areas of specialization in EE that include the design and testing of: memories, data converters, DSP, SoC, FPGAs, ASICs, Wireless/RF, Software, Firmware, Digital Communications and 2D & 3D video technologies. However, more resently, I am circling back to uP roots, I have now developed novel A.I. and Machine Learning (ML) technologies as well as technologies relating to High Performance Computing (HPC) of which both A.I. & ML are just a small subset of HPC!","I love traveling and reading, especially about the paranormal or Metaphysical stuff. Roadtrips and camping are always a blast. Discovered new ways to reclaim my health with some amazing results; independent of getting older! I have three kids with my son being the oldest   Fall 2021 Explore and two daughters. My profession is also still my hobbies, which I was told it can not be, but it is for me as I love playing with and learning about small computers used by hobbiest such as Arduinos, Raspberry pi and many others. But really just keeping abreast of the latest technology treads makes life to exciting that I have ZERO in ""retiring"" and look forward to sharing passion for technology,  especially but not limited to EE technologies!!!"
"I have participated as an IEEE Mentor, provided mentorship to employees in my company, have mentored several ECE students and other people in their careers. I have also been constantly engaging with students and advising them through offering applied courses including at NC State University.",I am interested in contributing back in my Alma Mater. ,"My areas of interest are in distributed systems, cloud computing, data platform systems. I started my career working on wireless networks, transitioned to backbone network optimizations, worked on databases, and finally on Cloud Computing.","My wife and I reside in San Jose along with our two wonderful kids, a boy and a girl. As a personal interest, I love teaching!"
